INFO: (2018-06-24 00:37:01,937) [22571ms]	-	Forward

INFO: (2018-06-24 00:37:01,938) [22571ms]	-	Right

INFO: (2018-06-24 00:37:02,329) [22962ms]	-	Inventory

INFO: (2018-06-24 00:37:02,339) [22973ms]	-	Look

INFO: (2018-06-24 00:37:02,411) [23045ms]	-	Forward

INFO: (2018-06-24 00:37:02,411) [23045ms]	-	Left

INFO: (2018-06-24 00:37:02,802) [23436ms]	-	Inventory

INFO: (2018-06-24 00:37:02,814) [23447ms]	-	Look

INFO: (2018-06-24 00:37:02,885) [23518ms]	-	Forward

INFO: (2018-06-24 00:37:02,885) [23519ms]	-	Right

INFO: (2018-06-24 00:37:03,276) [23910ms]	-	Inventory

INFO: (2018-06-24 00:37:03,287) [23921ms]	-	Look

INFO: (2018-06-24 00:37:03,358) [23991ms]	-	Forward

INFO: (2018-06-24 00:37:03,358) [23992ms]	-	Right

INFO: (2018-06-24 00:37:03,748) [24382ms]	-	Inventory

INFO: (2018-06-24 00:37:03,760) [24393ms]	-	Look

INFO: (2018-06-24 00:37:03,831) [24465ms]	-	Forward

INFO: (2018-06-24 00:37:03,831) [24465ms]	-	Left

INFO: (2018-06-24 00:37:04,222) [24856ms]	-	Inventory

INFO: (2018-06-24 00:37:04,233) [24867ms]	-	Look

INFO: (2018-06-24 00:37:04,304) [24938ms]	-	Forward

INFO: (2018-06-24 00:37:04,304) [24938ms]	-	Left

INFO: (2018-06-24 00:37:04,696) [25330ms]	-	Inventory

INFO: (2018-06-24 00:37:04,707) [25341ms]	-	Look

INFO: (2018-06-24 00:37:04,778) [25412ms]	-	Forward

INFO: (2018-06-24 00:37:04,778) [25412ms]	-	Right

INFO: (2018-06-24 00:37:05,169) [25803ms]	-	Inventory

INFO: (2018-06-24 00:37:05,180) [25814ms]	-	Look

INFO: (2018-06-24 00:37:05,252) [25886ms]	-	Forward

INFO: (2018-06-24 00:37:05,253) [25886ms]	-	Left

INFO: (2018-06-24 00:37:05,644) [26277ms]	-	Inventory

INFO: (2018-06-24 00:37:05,654) [26288ms]	-	Look

INFO: (2018-06-24 00:37:05,726) [26360ms]	-	Forward

INFO: (2018-06-24 00:37:05,726) [26360ms]	-	Left

INFO: (2018-06-24 00:37:06,117) [26751ms]	-	Inventory

INFO: (2018-06-24 00:37:06,128) [26761ms]	-	Look

INFO: (2018-06-24 00:37:06,199) [26832ms]	-	Take food

INFO: (2018-06-24 00:37:06,269) [26903ms]	-	Take food

